sender,subject,body,text,label,label_name
admin@free-money.net,URGENT: Update your banking info,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: URGENT: Update your banking info

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
noreply@airline.com,Your invoice is ready,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Your invoice is ready

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
info@lottery-winner.co,Work from home - $5000/week GUARANTEED,"CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!","Subject: Work from home - $5000/week GUARANTEED

CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!",1,spam
john.doe@company.com,Question about the report,I had a few questions about the quarterly report you sent. Can we schedule a quick call to go over section 3?,"Subject: Question about the report

I had a few questions about the quarterly report you sent. Can we schedule a quick call to go over section 3?",0,ham
noreply@airline.com,Weekend plans,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Weekend plans

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
friend@gmail.com,Lunch tomorrow?,"Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.","Subject: Lunch tomorrow?

Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.",0,ham
friend@gmail.com,Feedback on your presentation,Thank you for your application. We'd like to invite you for a technical interview next week.,"Subject: Feedback on your presentation

Thank you for your application. We'd like to invite you for a technical interview next week.",0,ham
billing@service.com,Feedback on your presentation,Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.,"Subject: Feedback on your presentation

Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.",0,ham
team@startup.io,Lunch tomorrow?,Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.,"Subject: Lunch tomorrow?

Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.",0,ham
john.doe@company.com,Reminder: dentist appointment,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Reminder: dentist appointment

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
friend@gmail.com,Re: Project update,"Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.","Subject: Re: Project update

Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.",0,ham
noreply@airline.com,Interview schedule,Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.,"Subject: Interview schedule

Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.",0,ham
hr@office.org,Your invoice is ready,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Your invoice is ready

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
team@startup.io,Interview schedule,Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.,"Subject: Interview schedule

Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.",0,ham
info@lottery-winner.co,Make money fast from home!,"CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!","Subject: Make money fast from home!

CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!",1,spam
noreply@verify-account.xyz,Urgent: Your account needs verification,AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!,"Subject: Urgent: Your account needs verification

AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!",1,spam
hr@office.org,Follow-up from our call,Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.,"Subject: Follow-up from our call

Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.",0,ham
noreply@airline.com,Happy Birthday!,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Happy Birthday!

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
team@startup.io,Weekend plans,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Weekend plans

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
info@lottery-winner.co,Your subscription expires today,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: Your subscription expires today

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
hr@office.org,Interview schedule,Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.,"Subject: Interview schedule

Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0,ham
john.doe@company.com,Meeting at 3pm today,Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.,"Subject: Meeting at 3pm today

Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0,ham
support@paypa1-secure.ru,Your PayPal account is suspended,"PHARMACY SPECIAL: Cheap meds without prescription! Viagra, Cialis, and more! Discreet delivery worldwide! Best prices on the internet! Order now get 70% discount!!!","Subject: Your PayPal account is suspended

PHARMACY SPECIAL: Cheap meds without prescription! Viagra, Cialis, and more! Discreet delivery worldwide! Best prices on the internet! Order now get 70% discount!!!",1,spam
team@startup.io,Meeting at 3pm today,Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.,"Subject: Meeting at 3pm today

Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.",0,ham
hr@office.org,Feedback on your presentation,"Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.","Subject: Feedback on your presentation

Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.",0,ham
team@startup.io,Your invoice is ready,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Your invoice is ready

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
hr@office.org,Your order has shipped,"Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.","Subject: Your order has shipped

Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.",0,ham
info@lottery-winner.co,FREE iPhone 15 - Claim Now!,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: FREE iPhone 15 - Claim Now!

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
noreply@verify-account.xyz,Make money fast from home!,FREE iPhone 15 Pro giveaway! You've been chosen! Just pay $2.99 shipping and handling. Click link to claim: http://free-iphone-claim.biz. Offer expires tonight!,"Subject: Make money fast from home!

FREE iPhone 15 Pro giveaway! You've been chosen! Just pay $2.99 shipping and handling. Click link to claim: http://free-iphone-claim.biz. Offer expires tonight!",1,spam
john.doe@company.com,Follow-up from our call,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Follow-up from our call

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
offer@deals-today.biz,Limited time offer - Act NOW,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: Limited time offer - Act NOW

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
hr@office.org,Flight confirmation,I had a few questions about the quarterly report you sent. Can we schedule a quick call to go over section 3?,"Subject: Flight confirmation

I had a few questions about the quarterly report you sent. Can we schedule a quick call to go over section 3?",0,ham
billing@service.com,Meeting at 3pm today,"Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.","Subject: Meeting at 3pm today

Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.",0,ham
prize@winner-notify.com,FREE iPhone 15 - Claim Now!,Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net,"Subject: FREE iPhone 15 - Claim Now!

Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net",1,spam
noreply@verify-account.xyz,Make money fast from home!,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: Make money fast from home!

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
support@paypa1-secure.ru,Your PayPal account is suspended,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: Your PayPal account is suspended

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
noreply@airline.com,Feedback on your presentation,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Feedback on your presentation

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
team@startup.io,Happy Birthday!,Thank you for your application. We'd like to invite you for a technical interview next week.,"Subject: Happy Birthday!

Thank you for your application. We'd like to invite you for a technical interview next week.",0,ham
noreply@verify-account.xyz,Congratulations! You are selected,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: Congratulations! You are selected

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
team@startup.io,Your invoice is ready,"Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.","Subject: Your invoice is ready

Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.",0,ham
noreply@verify-account.xyz,Click here to claim your prize,Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!,"Subject: Click here to claim your prize

Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!",1,spam
team@startup.io,Interview schedule,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Interview schedule

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
info@lottery-winner.co,Congratulations! You are selected,"EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: Congratulations! You are selected

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
prize@winner-notify.com,Work from home - $5000/week GUARANTEED,MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!,"Subject: Work from home - $5000/week GUARANTEED

MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!",1,spam
hr@office.org,Weekend plans,"Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.","Subject: Weekend plans

Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.",0,ham
prize@winner-notify.com,URGENT: Update your banking info,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: URGENT: Update your banking info

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
friend@gmail.com,Meeting at 3pm today,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Meeting at 3pm today

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
offer@deals-today.biz,Your PayPal account is suspended,"CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!","Subject: Your PayPal account is suspended

CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!",1,spam
prize@winner-notify.com,Hot singles in your area,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: Hot singles in your area

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
hr@office.org,Team standup notes,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Team standup notes

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
noreply@verify-account.xyz,Limited time offer - Act NOW,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: Limited time offer - Act NOW

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
billing@service.com,Weekend plans,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Weekend plans

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
hr@office.org,Welcome to the team,Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.,"Subject: Welcome to the team

Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0,ham
hr@office.org,Question about the report,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Question about the report

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
offer@deals-today.biz,Urgent: Your account needs verification,URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.,"Subject: Urgent: Your account needs verification

URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.",1,spam
hr@office.org,Weekend plans,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Weekend plans

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
john.doe@company.com,Feedback on your presentation,Could you please review the attached document and send me your comments by Friday? Thanks!,"Subject: Feedback on your presentation

Could you please review the attached document and send me your comments by Friday? Thanks!",0,ham
prize@winner-notify.com,Your subscription expires today,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: Your subscription expires today

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
billing@service.com,Question about the report,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Question about the report

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
billing@service.com,Your order has shipped,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Your order has shipped

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
prize@winner-notify.com,Work from home - $5000/week GUARANTEED,"YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!","Subject: Work from home - $5000/week GUARANTEED

YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!",1,spam
info@lottery-winner.co,Limited time offer - Act NOW,Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz,"Subject: Limited time offer - Act NOW

Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz",1,spam
info@lottery-winner.co,Your subscription expires today,"EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: Your subscription expires today

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
info@lottery-winner.co,Nigerian Prince needs your help,MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!,"Subject: Nigerian Prince needs your help

MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!",1,spam
info@lottery-winner.co,Your subscription expires today,Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz,"Subject: Your subscription expires today

Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz",1,spam
hr@office.org,Happy Birthday!,Thank you for your application. We'd like to invite you for a technical interview next week.,"Subject: Happy Birthday!

Thank you for your application. We'd like to invite you for a technical interview next week.",0,ham
hr@office.org,Lunch tomorrow?,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Lunch tomorrow?

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
prize@winner-notify.com,Lose 30 pounds in 30 days,"SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!","Subject: Lose 30 pounds in 30 days

SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!",1,spam
offer@deals-today.biz,URGENT: Update your banking info,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: URGENT: Update your banking info

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
admin@free-money.net,FINAL NOTICE: Payment required,You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.,"Subject: FINAL NOTICE: Payment required

You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.",1,spam
hr@office.org,Flight confirmation,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Flight confirmation

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
billing@service.com,Flight confirmation,Could you please review the attached document and send me your comments by Friday? Thanks!,"Subject: Flight confirmation

Could you please review the attached document and send me your comments by Friday? Thanks!",0,ham
noreply@verify-account.xyz,Hot singles in your area,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: Hot singles in your area

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
admin@free-money.net,Your PayPal account is suspended,FREE iPhone 15 Pro giveaway! You've been chosen! Just pay $2.99 shipping and handling. Click link to claim: http://free-iphone-claim.biz. Offer expires tonight!,"Subject: Your PayPal account is suspended

FREE iPhone 15 Pro giveaway! You've been chosen! Just pay $2.99 shipping and handling. Click link to claim: http://free-iphone-claim.biz. Offer expires tonight!",1,spam
billing@service.com,Feedback on your presentation,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Feedback on your presentation

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
admin@free-money.net,FREE iPhone 15 - Claim Now!,You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.,"Subject: FREE iPhone 15 - Claim Now!

You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.",1,spam
admin@free-money.net,FREE iPhone 15 - Claim Now!,"EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: FREE iPhone 15 - Claim Now!

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
prize@winner-notify.com,Congratulations! You are selected,URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.,"Subject: Congratulations! You are selected

URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.",1,spam
